[2025-01-24 00:07:00,198 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=65, shift=preds_0
[2025-01-24 00:07:00,707 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=66, shift=preds_0
[2025-01-24 00:07:02,802 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=67, shift=preds_0
[2025-01-24 00:07:03,706 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=68, shift=preds_0
[2025-01-24 00:07:05,224 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=69, shift=preds_0
[2025-01-24 00:07:06,497 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=70, shift=preds_0
[2025-01-24 00:07:06,918 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=71, shift=preds_0
[2025-01-24 00:07:15,837 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=72, shift=preds_0
[2025-01-24 00:07:19,180 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=73, shift=preds_0
[2025-01-24 00:07:20,953 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=74, shift=preds_0
[2025-01-24 00:07:21,405 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=75, shift=preds_0
[2025-01-24 00:07:21,889 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=76, shift=preds_0
[2025-01-24 00:07:22,454 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=77, shift=preds_0
[2025-01-24 00:07:22,871 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=78, shift=preds_0
[2025-01-24 00:07:23,341 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=79, shift=preds_0
[2025-01-24 00:07:25,669 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=80, shift=preds_0
[2025-01-24 00:07:26,549 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=81, shift=preds_0
[2025-01-24 00:07:27,008 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=82, shift=preds_0
[2025-01-24 00:07:27,466 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=83, shift=preds_0
[2025-01-24 00:07:27,986 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=84, shift=preds_0
[2025-01-24 00:07:28,557 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=85, shift=preds_0
[2025-01-24 00:07:29,028 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=86, shift=preds_0
[2025-01-24 00:07:29,500 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=87, shift=preds_0
[2025-01-24 00:07:30,006 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=88, shift=preds_0
[2025-01-24 00:07:30,481 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=89, shift=preds_0
[2025-01-24 00:07:30,939 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=90, shift=preds_0
